time,phase,rst_n,command_valid,command_ready,busy,done,error,error_code,response_valid,response_error,response_result,memory_req_valid,memory_req_ready,memory_req_write,memory_req_addr,memory_req_wstrb,memory_rsp_valid,memory_rsp_ready,stalled_cycle,elements_completed_event
5000,1,0,0,0,x,x,x,x,x,x,xxxxxxxx,0,1,x,xxxxxxxx,0,0,0,x,x
485000,48,1,0,0,1,0,0,0,0,0,0,0,0,0,10000100,0,0,0,0,0
495000,48,1,0,0,1,0,0,0,0,0,0,1,1,1,10002100,f,0,0,0,0
505000,48,1,0,0,1,0,0,0,0,0,0,0,1,0,10000100,0,1,1,0,0
515000,48,1,0,0,1,0,0,0,0,0,0,1,0,0,10000104,0,0,0,1,2
525000,48,1,0,0,1,0,0,0,0,0,0,1,1,0,10000104,0,0,0,0,0
535000,48,1,0,0,1,0,0,0,0,0,0,0,1,0,10000104,0,1,1,0,0
545000,48,1,0,0,1,0,0,0,0,0,0,1,0,0,10001104,0,0,0,1,0
555000,48,1,0,0,1,0,0,0,0,0,0,1,1,0,10001104,0,0,0,0,0
565000,48,1,0,0,1,0,0,0,0,0,0,0,1,0,10000104,0,1,1,0,0
575000,48,1,0,0,1,0,0,0,0,0,0,0,0,0,10000104,0,0,0,0,0
585000,48,1,0,0,1,0,0,0,0,0,0,1,1,1,10002104,f,0,0,0,0
595000,48,1,0,0,1,0,0,0,0,0,0,0,1,0,10000104,0,1,1,0,0
605000,48,1,0,0,1,0,0,0,0,0,0,1,0,0,10000108,0,0,0,1,2
615000,48,1,0,0,1,0,0,0,0,0,0,1,1,0,10000108,0,0,0,0,0
625000,48,1,0,0,1,0,0,0,0,0,0,0,1,0,10000108,0,1,1,0,0
635000,48,1,0,0,1,0,0,0,0,0,0,1,0,0,10001108,0,0,0,1,0
645000,48,1,0,0,1,0,0,0,0,0,0,1,1,0,10001108,0,0,0,0,0
655000,48,1,0,0,1,0,0,0,0,0,0,0,1,0,10000108,0,1,1,0,0
665000,48,1,0,0,1,0,0,0,0,0,0,0,0,0,10000108,0,0,0,0,0
675000,48,1,0,0,1,0,0,0,0,0,0,1,1,1,10002108,3,0,0,0,0
685000,48,1,0,0,1,0,0,0,0,0,0,0,1,0,10000108,0,1,1,0,0
695000,48,1,0,0,1,1,0,0,1,0,5,0,0,0,10000108,0,0,0,0,1
705000,64,0,0,0,0,0,0,0,0,0,5,0,1,0,10000108,0,0,0,0,0
715000,64,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
725000,64,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
735000,64,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
745000,64,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
755000,64,1,0,0,1,1,1,8,1,8,0,0,1,0,0,0,0,0,0,0
765000,80,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0
775000,80,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
785000,80,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
795000,80,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
805000,80,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
815000,80,1,0,0,1,0,0,0,0,0,0,1,1,0,10000100,0,0,0,0,0
825000,80,1,0,0,1,0,0,0,0,0,0,0,1,0,10000100,0,1,1,0,0
835000,80,1,0,0,1,1,1,5,1,5,0,0,1,0,10000100,0,0,0,0,0
845000,255,1,0,1,0,0,0,0,0,5,0,0,1,0,10000100,0,0,0,0,0
855000,255,1,0,1,0,0,0,0,0,5,0,0,1,0,10000100,0,0,0,0,0
865000,255,1,0,1,0,0,0,0,0,5,0,0,1,0,10000100,0,0,0,0,0
875000,255,1,0,1,0,0,0,0,0,5,0,0,1,0,10000100,0,0,0,0,0
